gpu,vcpu_memgb_ratio,clock_speed_ghz,daily_price,cloud_service_id,memory_gb,memgb_vcpu_ratio,vcpu,processor_manufacturer,instance_id,architecture,cloud_provider_id,gCO2eq24hs,network,category
8,0.25,2.5,187.78,aws-ec2,384,4,96,intel,g4dn.metal,x86_64,aws,,100 Gigabit,compute
1,0.25,2.5,12.62,aws-ec2,16,4,4,intel,g4dn.xlarge,x86_64,aws,1000,Up to 25 Gigabit,compute
0,0.25,2.3,89.86,aws-ec2,256,4,64,intel,h1.16xlarge,x86_64,aws,5654,25 Gigabit,compute
0,0.25,2.3,11.23,aws-ec2,32,4,8,intel,h1.2xlarge,x86_64,aws,708.1,Up to 10 Gigabit,compute
0,0.25,2.3,22.46,aws-ec2,64,4,16,intel,h1.4xlarge,x86_64,aws,1412.6,Up to 10 Gigabit,compute
0,0.25,2.3,44.93,aws-ec2,128,4,32,intel,h1.8xlarge,x86_64,aws,2828.8,10 Gigabit,compute
0,0.13675213675213677,2,110.4,aws-ec2,117,7.3125,16,intel,hs1.8xlarge,x86_64,aws,2720,10 Gigabit,compute
0,0.13114754098360656,2.5,40.92,aws-ec2,61,7.625,8,intel,i2.2xlarge,x86_64,aws,1099.9,High,compute
0,0.13114754098360656,2.5,81.84,aws-ec2,122,7.625,16,intel,i2.4xlarge,x86_64,aws,2202.1,High,compute
0,0.13114754098360656,2.5,163.68,aws-ec2,244,7.625,32,intel,i2.8xlarge,x86_64,aws,4400.7,10 Gigabit,compute
0,0.13114754098360656,2.5,20.47,aws-ec2,30.5,7.625,4,intel,i2.xlarge,x86_64,aws,549.9,Moderate,compute
0,0.13114754098360656,2.3,119.81,aws-ec2,488,7.625,64,intel,i3.16xlarge,x86_64,aws,6738.7,25 Gigabit,compute
0,0.13114754098360656,2.3,14.98,aws-ec2,61,7.625,8,intel,i3.2xlarge,x86_64,aws,842.2,Up to 10 Gigabit,compute
0,0.13114754098360656,2.3,29.95,aws-ec2,122,7.625,16,intel,i3.4xlarge,x86_64,aws,1683.2,Up to 10 Gigabit,compute
0,0.13114754098360656,2.3,59.9,aws-ec2,244,7.625,32,intel,i3.8xlarge,x86_64,aws,3370,10 Gigabit,compute
0,0.13114754098360656,2.3,3.74,aws-ec2,15.25,7.625,2,intel,i3.large,x86_64,aws,210.8,Up to 10 Gigabit,compute
0,0.125,2.3,119.81,aws-ec2,512,8,64,intel,i3.metal,x86_64,aws,,25 Gigabit,compute
0,0.13114754098360656,2.3,7.49,aws-ec2,30.5,7.625,4,intel,i3.xlarge,x86_64,aws,421.7,Up to 10 Gigabit,compute
0,0.125,3.1,130.18,aws-ec2,384,8,48,intel,i3en.12xlarge,x86_64,aws,6506.4,50 Gigabit,compute
0,0.125,3.1,260.35,aws-ec2,768,8,96,intel,i3en.24xlarge,x86_64,aws,13011.6,100 Gigabit,compute
0,0.125,3.1,21.7,aws-ec2,64,8,8,intel,i3en.2xlarge,x86_64,aws,1084,Up to 25 Gigabit,compute
0,0.125,3.1,32.54,aws-ec2,96,8,12,intel,i3en.3xlarge,x86_64,aws,1625.4,Up to 25 Gigabit,compute
0,0.125,3.1,65.09,aws-ec2,192,8,24,intel,i3en.6xlarge,x86_64,aws,3253.2,25 Gigabit,compute
0,0.125,3.1,5.42,aws-ec2,16,8,2,intel,i3en.large,x86_64,aws,271.9,Up to 25 Gigabit,compute
0,0.125,3.1,260.35,aws-ec2,768,8,96,intel,i3en.metal,x86_64,aws,,100 Gigabit,compute
0,0.125,3.1,10.85,aws-ec2,32,8,4,intel,i3en.xlarge,x86_64,aws,541.4,Up to 25 Gigabit,compute
0,0.5,,113.3,aws-ec2,192,2,96,intel,inf1.24xlarge,x86_64,aws,9108.1,100 Gigabit,compute
0,0.5,,8.69,aws-ec2,16,2,8,intel,inf1.2xlarge,x86_64,aws,758.1,Up to 25 Gigabit,compute
0,0.5,,28.32,aws-ec2,48,2,24,intel,inf1.6xlarge,x86_64,aws,2276.7,25 Gigabit,compute
0,0.5,,5.47,aws-ec2,8,2,4,intel,inf1.xlarge,x86_64,aws,378.5,Up to 25 Gigabit,compute
0,0.26666666666666666,,4.2,aws-ec2,7.5,3.75,2,intel,m1.large,x86_64,aws,237.2,Moderate,compute
0,0.26666666666666666,,2.09,aws-ec2,3.75,3.75,1,intel,m1.medium,x86_64,aws,118.6,Moderate,compute
0,0.5882352941176471,,1.06,aws-ec2,1.7,1.7,1,intel,m1.small,x86_64,aws,109,Low,compute
0,0.26666666666666666,,8.4,aws-ec2,15,3.75,4,intel,m1.xlarge,x86_64,aws,472.1,High,compute
0,0.11695906432748537,,11.76,aws-ec2,34.2,8.55,4,intel,m2.2xlarge,x86_64,aws,620.6,Moderate,compute
0,0.11695906432748537,,23.52,aws-ec2,68.4,8.55,8,intel,m2.4xlarge,x86_64,aws,1243.5,High,compute
0,0.11695906432748537,,5.88,aws-ec2,17.1,8.55,2,intel,m2.xlarge,x86_64,aws,310.3,Moderate,compute
0,0.26666666666666666,2.5,12.77,aws-ec2,30,3.75,8,intel,m3.2xlarge,x86_64,aws,1049.5,High,compute
0,0.26666666666666666,2.5,3.19,aws-ec2,7.5,3.75,2,intel,m3.large,x86_64,aws,262.4,Moderate,compute
0,0.26666666666666666,2.5,1.61,aws-ec2,3.75,3.75,1,intel,m3.medium,x86_64,aws,131.8,Moderate,compute
0,0.26666666666666666,2.5,6.38,aws-ec2,15,3.75,4,intel,m3.xlarge,x86_64,aws,523.6,High,compute
0,0.25,2.4,48,aws-ec2,160,4,40,intel,m4.10xlarge,x86_64,aws,3768.8,10 Gigabit,compute
0,0.25,2.4,76.8,aws-ec2,256,4,64,intel,m4.16xlarge,x86_64,aws,4914.8,25 Gigabit,compute
0,0.25,2.4,9.6,aws-ec2,32,4,8,intel,m4.2xlarge,x86_64,aws,614.5,High,compute
0,0.25,2.4,19.2,aws-ec2,64,4,16,intel,m4.4xlarge,x86_64,aws,1227.8,High,compute
0,0.25,2.4,2.4,aws-ec2,8,4,2,intel,m4.large,x86_64,aws,154.5,Moderate,compute
0,0.25,2.4,4.8,aws-ec2,16,4,4,intel,m4.xlarge,x86_64,aws,306.6,High,compute
0,0.25,3.1,55.3,aws-ec2,192,4,48,intel,m5.12xlarge,x86_64,aws,4617.1,10 Gigabit,compute
0,0.25,3.1,73.73,aws-ec2,256,4,64,intel,m5.16xlarge,x86_64,aws,6157.3,20 Gigabit,compute
0,0.25,3.1,110.59,aws-ec2,384,4,96,intel,m5.24xlarge,x86_64,aws,9234.2,25 Gigabit,compute
0,0.25,3.1,9.22,aws-ec2,32,4,8,intel,m5.2xlarge,x86_64,aws,770.1,Up to 10 Gigabit,compute
0,0.25,3.1,18.43,aws-ec2,64,4,16,intel,m5.4xlarge,x86_64,aws,1540.2,Up to 10 Gigabit,compute
0,0.25,3.1,36.86,aws-ec2,128,4,32,intel,m5.8xlarge,x86_64,aws,3076.9,10 Gigabit,compute
0,0.25,3.1,2.3,aws-ec2,8,4,2,intel,m5.large,x86_64,aws,192.8,Up to 10 Gigabit,compute
0,0.25,3.1,110.59,aws-ec2,384,4,96,intel,m5.metal,x86_64,aws,,25 Gigabit,compute
0,0.25,3.1,4.61,aws-ec2,16,4,4,intel,m5.xlarge,x86_64,aws,383.3,Up to 10 Gigabit,compute
0,0.25,2.5,49.54,aws-ec2,192,4,48,amd,m5a.12xlarge,x86_64,aws,3759.8,10 Gigabit,compute
0,0.25,2.5,66.05,aws-ec2,256,4,64,amd,m5a.16xlarge,x86_64,aws,5012.6,12 Gigabit,compute
0,0.25,2.5,99.07,aws-ec2,384,4,96,amd,m5a.24xlarge,x86_64,aws,7518.4,20 Gigabit,compute
0,0.25,2.5,8.26,aws-ec2,32,4,8,amd,m5a.2xlarge,x86_64,aws,626.4,Up to 10 Gigabit,compute
0,0.25,2.5,16.51,aws-ec2,64,4,16,amd,m5a.4xlarge,x86_64,aws,1254.1,Up to 10 Gigabit,compute
0,0.25,2.5,33.02,aws-ec2,128,4,32,amd,m5a.8xlarge,x86_64,aws,2505.7,Up to 10 Gigabit,compute
0,0.25,2.5,2.06,aws-ec2,8,4,2,amd,m5a.large,x86_64,aws,156.9,Up to 10 Gigabit,compute
0,0.25,2.5,4.13,aws-ec2,16,4,4,amd,m5a.xlarge,x86_64,aws,312.6,Up to 10 Gigabit,compute
0,0.25,2.5,59.33,aws-ec2,192,4,48,amd,m5ad.12xlarge,x86_64,aws,3899,10 Gigabit,compute
0,0.25,2.5,79.1,aws-ec2,256,4,64,amd,m5ad.16xlarge,x86_64,aws,5197.4,12 Gigabit,compute
0,0.25,2.5,118.66,aws-ec2,384,4,96,amd,m5ad.24xlarge,x86_64,aws,7796.8,20 Gigabit,compute
0,0.25,2.5,9.89,aws-ec2,32,4,8,amd,m5ad.2xlarge,x86_64,aws,648,Up to 10 Gigabit,compute
0,0.25,2.5,19.78,aws-ec2,64,4,16,amd,m5ad.4xlarge,x86_64,aws,1299.7,Up to 10 Gigabit,compute
0,0.25,2.5,39.55,aws-ec2,128,4,32,amd,m5ad.8xlarge,x86_64,aws,2599.3,Up to 10 Gigabit,compute
0,0.25,2.5,2.47,aws-ec2,8,4,2,amd,m5ad.large,x86_64,aws,161.7,Up to 10 Gigabit,compute
0,0.25,2.5,4.94,aws-ec2,16,4,4,amd,m5ad.xlarge,x86_64,aws,324.6,Up to 10 Gigabit,compute
0,0.25,3.1,65.09,aws-ec2,192,4,48,intel,m5d.12xlarge,x86_64,aws,4756.3,10 Gigabit,compute
0,0.25,3.1,86.78,aws-ec2,256,4,64,intel,m5d.16xlarge,x86_64,aws,6342.1,20 Gigabit,compute
0,0.25,3.1,130.18,aws-ec2,384,4,96,intel,m5d.24xlarge,x86_64,aws,9512.6,25 Gigabit,compute
0,0.25,3.1,10.85,aws-ec2,32,4,8,intel,m5d.2xlarge,x86_64,aws,791.7,Up to 10 Gigabit,compute
0,0.25,3.1,21.7,aws-ec2,64,4,16,intel,m5d.4xlarge,x86_64,aws,1585.8,Up to 10 Gigabit,compute
0,0.25,3.1,43.39,aws-ec2,128,4,32,intel,m5d.8xlarge,x86_64,aws,3170.5,10 Gigabit,compute
0,0.25,3.1,2.71,aws-ec2,8,4,2,intel,m5d.large,x86_64,aws,197.6,Up to 10 Gigabit,compute
0,0.25,3.1,130.18,aws-ec2,384,4,96,intel,m5d.metal,x86_64,aws,,25 Gigabit,compute
0,0.25,3.1,5.42,aws-ec2,16,4,4,intel,m5d.xlarge,x86_64,aws,395.3,Up to 10 Gigabit,compute
0,0.25,3.1,78.34,aws-ec2,192,4,48,intel,m5dn.12xlarge,x86_64,aws,4097.7,50 Gigabit,compute
0,0.25,3.1,104.45,aws-ec2,256,4,64,intel,m5dn.16xlarge,x86_64,aws,5463.3,75 Gigabit,compute
0,0.25,3.1,156.67,aws-ec2,384,4,96,intel,m5dn.24xlarge,x86_64,aws,8195.5,100 Gigabit,compute
0,0.25,3.1,13.06,aws-ec2,32,4,8,intel,m5dn.2xlarge,x86_64,aws,681.6,Up to 25 Gigabit,compute
0,0.25,3.1,26.11,aws-ec2,64,4,16,intel,m5dn.4xlarge,x86_64,aws,1365.5,Up to 25 Gigabit,compute
